category,sc1,sc2_gross,sc2_saving,sc2_net,net_minus_sc1,unit
Acidification,0.5082790628899415,0.5084018651762658,0.058455577772229914,0.4499462874040359,-0.0583327754859056,mol H+ eq
Climate change,48.609707217206235,48.5000847244159,4.716150281428849,43.78393444298705,-4.825772774219189,kg CO2 eq
Climate change (biogenic),0.12205923931629926,0.12212427044117127,0.016370866052697258,0.10575340438847401,-0.016305834927825252,kg CO2 eq
Climate change (fossil),48.325405978178196,48.21566093442612,4.6381542175914605,43.577506716834655,-4.747899261343541,kg CO2 eq
Climate change (land use),0.16224199971174574,0.16229951954860938,0.0616251977846906,0.10067432176391879,-0.06156767794782696,kg CO2 eq
Ecotoxicity freshwater,1358.0256385064058,1357.8498019736494,126.27825800932428,1231.5715439643252,-126.45409454208061,CTUe
Ecotoxicity freshwater (inorganics),1342.1733342403222,1341.9965621389956,124.159149518056,1217.8374126209396,-124.33592161938259,CTUe
Ecotoxicity freshwater (organics),15.852304266084952,15.853239834655307,2.1191084912681686,13.734131343387139,-2.1181729226978128,CTUe
Eutrophication freshwater,0.07747778549470989,0.07749283396112251,0.0069246367964481146,0.0705681971646744,-0.006909588330035493,kg P eq
Eutrophication marine,0.0708464832552195,0.07085102798060355,0.007109418291861194,0.06374160968874236,-0.007104873566477141,kg N eq
Eutrophication terrestrial,0.7700969141779841,0.7701832989970029,0.07976568106986064,0.6904176179271423,-0.0796792962508418,mol N eq
Human toxicity cancer,5.22996875550812e-08,5.230656426555306e-08,1.2627234707011674e-08,3.9679329558541383e-08,-1.2620357996539816e-08, CTUh 
Human toxicity cancer (inorganics),4.073928786293139e-08,4.074453862851939e-08,8.567159205216055e-09,3.2177379423303335e-08,-8.561908439628057e-09, CTUh 
Human toxicity cancer (organics),1.1560399692149813e-08,1.1562025637033633e-08,4.0600755017956186e-09,7.501950135238015e-09,-4.058449556911798e-09, CTUh 
Human toxicity non-cancer,2.1750436844243512e-06,2.17583536140547e-06,4.2088923505543517e-07,1.7549461263500346e-06,-4.200975580743166e-07,CTUh
Human toxicity non-cancer (inorganics),2.131985506510805e-06,2.1327624582801237e-06,4.0766503412366023e-07,1.7250974241564635e-06,-4.0688808235434167e-07,CTUh
Human toxicity non-cancer (organics),4.305817671020063e-08,4.307290192073929e-08,1.3224200841562635e-08,2.9848701079176655e-08,-1.3209475631023973e-08,CTUh
Ionising radiation (human health),6.77664312929144,6.780869301168115,0.6498534176827203,6.131015883485395,-0.645627245806045,kBq U235 eq
Land use,273.41970276349997,273.3484907261293,23.83756435643462,249.51092636969466,-23.90877639380531,dimensionless (pt)
Ozone depletion,4.215553303305444e-06,4.2153954880313276e-06,3.7183343146273216e-07,3.843562056568596e-06,-3.7199124673684815e-07,kg CFC11 eq
Particulate matter,2.592896796778574e-06,2.5935629263977654e-06,3.8582132084342964e-07,2.2077416055543357e-06,-3.8515519122423833e-07,disease incidence
Photochemical ozone formation (human health),0.21504682619745855,0.21506732338674928,0.022446425513086357,0.19262089787366293,-0.022425928323795613,kg NMVOC eq
Resource use fossils,659.6735352497964,659.9991579719787,62.537780965520334,597.4613770064583,-62.21215824333808,MJ (net calorific)
Resource use minerals and metals,0.01850695503176657,0.01850741120046389,0.001829461961668913,0.016677949238794978,-0.0018290057929715928,kg Sb eq
Water use,25.73724292267434,25.73757688021942,4.4275923722671,21.309984507952322,-4.427258414722019,m3 world eq
