category,sc1,sc2_gross,sc2_saving,sc2_net,sc3_gross,sc3_saving,sc3_net,sc4_gross,sc4_saving,sc4_net,unit
Acidification,0.5739807539566433,0.5741407261393654,0.05655073905714475,0.5175899870822207,0.5741073315903714,0.11222313361181525,0.4618841979785562,0.574111181751516,0.16326209231910296,0.41084908943241305,mol H+ eq
Climate change,73.57183898331746,73.47943328687954,4.4189783224861845,69.06045496439336,73.4093309078415,8.182522162760328,65.22680874508117,73.4103180826526,15.431528698342193,57.9787893843104,kg CO2 eq
Climate change (biogenic),0.21448197637591623,0.2145507241682973,0.015206019330598184,0.19934470483769912,0.21457621025640272,0.025227696139789174,0.18934851411661355,0.21459417635985484,0.03915371798232276,0.17544045837753208,kg CO2 eq
Climate change (fossil),73.13314507037879,73.04059567038625,4.348219548426429,68.69237612195982,72.97046186009972,8.088195521825535,64.88226633827418,72.97142239231604,15.310760075202303,57.66066231711374,kg CO2 eq
Climate change (land use),0.22421193656275176,0.22428689232500132,0.05555275472915721,0.1687341375958441,0.22429283748536014,0.06909894479500485,0.15519389269035527,0.2243015139767092,0.08161490515756703,0.14268660881914216,kg CO2 eq
Ecotoxicity freshwater,1452.2482630258737,1452.164678958746,128.43525307089226,1323.7294258878537,1452.1396274614233,415.01167111977156,1037.1279563416517,1452.136604702652,626.1262182353926,826.0103864672594,CTUe
Ecotoxicity freshwater (inorganics),1433.8345585371972,1433.746086012688,126.47782622446051,1307.2682597882274,1433.7139886752332,412.04406939832455,1021.6699192769086,1433.7115132252118,620.8089896401993,812.9025235850124,CTUe
Ecotoxicity freshwater (organics),18.413704488676135,18.418592946059118,1.9574268464316957,16.461166099627423,18.425638786189435,2.9676017214470893,15.458037064742346,18.425091477440965,5.317228595192907,13.107862882248059,CTUe
Eutrophication freshwater,0.11591971928120552,0.11593528146324435,0.006898941169476264,0.10903634029376809,0.11592946552852795,0.019212691043771903,0.09671677448475605,0.115937288128835,0.029761070053725695,0.0861762180751093,kg P eq
Eutrophication marine,0.09087057525845861,0.09088094637852773,0.006865224600777923,0.08401572177774981,0.09086418172993366,0.015722824206074803,0.07514135752385885,0.09086661634890007,0.025928515851236178,0.0649381004976639,kg N eq
Eutrophication terrestrial,0.9101167240022252,0.9102679746545688,0.07747784470292063,0.8327901299516481,0.9102228929371237,0.18231238273547118,0.7279105102016525,0.9102328695336279,0.2936300765124345,0.6166027930211935,mol N eq
Human toxicity cancer,6.07950745180004e-08,6.143780538183843e-08,1.1865445706345636e-08,4.9572359675492795e-08,6.315031572580642e-08,1.7821356896636628e-08,4.532895882916979e-08,6.300142528268096e-08,2.314362236576191e-08,3.985780291691905e-08, CTUh 
Human toxicity cancer (inorganics),4.736766935009766e-08,4.7918105595938305e-08,8.200458391666855e-09,3.971764720427145e-08,4.938389094260563e-08,1.3349501598561781e-08,3.603438934404385e-08,4.925611315775561e-08,1.800976523743974e-08,3.124634792031587e-08, CTUh 
Human toxicity cancer (organics),1.342740516790272e-08,1.3519699785900142e-08,3.6649873146787854e-09,9.854712471221356e-09,1.3766424783200842e-08,4.4718552980748575e-09,9.294569485125984e-09,1.3745312124925318e-08,5.1338571283221685e-09,8.61145499660315e-09, CTUh 
Human toxicity non-cancer,2.4814176063713763e-06,2.5196429844081653e-06,4.146262999281232e-07,2.105016684480042e-06,2.6198868100441384e-06,8.074891254190875e-07,1.8123976846250509e-06,2.611083934928592e-06,1.110016637095708e-06,1.5010672978328839e-06,CTUh
