category,sc1,sc2_gross,sc2_saving,sc2_net,sc3_gross,sc3_saving,sc3_net,sc4_gross,sc4_saving,sc4_net,unit
Acidification,0.5739537926416608,0.5741407261393738,0.05655073905714618,0.5175899870822277,0.5741073315903097,0.11201828957078601,0.46208904201952367,0.5741111817515165,0.16326209231909425,0.41084908943242227,mol H+ eq
Climate change,73.43258610950522,73.4794332868828,4.418978322486466,69.06045496439633,73.40933090783466,8.16272629525154,65.24660461258311,73.41031808264212,15.431528698340522,57.9787893843016,kg CO2 eq
Climate change (biogenic),0.21448144066575808,0.21455072416829454,0.015206019330598307,0.19934470483769623,0.21457621025640258,0.025180352778695764,0.18939585747770682,0.21459417635987177,0.03915371798232244,0.17544045837754932,kg CO2 eq
Climate change (fossil),72.99389325495592,73.0405956703895,4.348219548426711,68.69237612196278,72.97046186009294,8.068482505142676,64.90197935495027,72.97142239230551,15.310760075200635,57.66066231710488,kg CO2 eq
Climate change (land use),0.22421141388355373,0.2242868923250066,0.05555275472915744,0.16873413759584915,0.2242928374853325,0.06906343733016934,0.15522940015516315,0.22430151397673265,0.08161490515756695,0.1426866088191657,kg CO2 eq
Ecotoxicity freshwater,1451.9533960581011,1452.1646789587555,128.4352530708933,1323.7294258878621,1452.1396274614247,413.32366299973995,1038.8159644616846,1452.1366047026474,626.1262182353879,826.0103864672595,CTUe
Ecotoxicity freshwater (inorganics),1433.5395572618372,1433.746086012699,126.47782622446135,1307.2682597882376,1433.713988675234,410.3601423757495,1023.3538462994845,1433.7115132252075,620.8089896401947,812.9025235850128,CTUe
Ecotoxicity freshwater (organics),18.413838796265527,18.418592946058368,1.9574268464317122,16.461166099626656,18.42563878618889,2.9635206239903753,15.462118162198516,18.425091477441796,5.31722859519283,13.107862882248966,CTUe
Eutrophication freshwater,0.1159195880388865,0.11593528146324991,0.006898941169476382,0.10903634029377353,0.1159294655285277,0.019142837079866578,0.09678662844866112,0.11593728812882505,0.029761070053725257,0.08617621807509979,kg P eq
Eutrophication marine,0.09085391796320152,0.09088094637852995,0.006865224600778205,0.08401572177775174,0.09086418172992504,0.015675346047413316,0.07518883568251172,0.09086661634889656,0.02592851585123445,0.0649381004976621,kg N eq
Eutrophication terrestrial,0.9099789322101715,0.9102679746545805,0.07747784470292346,0.8327901299516571,0.9102228929370333,0.18175588176358176,0.7284670111734515,0.9102328695336156,0.29363007651241635,0.6166027930211992,mol N eq
Human toxicity cancer,6.0786604901352e-08,6.143780538183796e-08,1.1865445706345712e-08,4.9572359675492246e-08,6.3150315725838e-08,1.7800127330030024e-08,4.5350188395807974e-08,6.300142528267799e-08,2.3143622365761602e-08,3.985780291691639e-08, CTUh 
Human toxicity cancer (inorganics),4.736066483889925e-08,4.7918105595938345e-08,8.200458391666898e-09,3.971764720427145e-08,4.93838909426213e-08,1.333018642383677e-08,3.605370451878453e-08,4.9256113157754216e-08,1.8009765237439503e-08,3.124634792031471e-08, CTUh 
Human toxicity cancer (organics),1.3425940062452763e-08,1.3519699785899613e-08,3.6649873146788077e-09,9.854712471220805e-09,1.376642478321665e-08,4.469940906193254e-09,9.296483877023396e-09,1.374531212492376e-08,5.133857128322109e-09,8.61145499660165e-09, CTUh 
