category,sc1,sc2_gross,sc2_saving,sc2_net,sc3_gross,sc3_saving,sc3_net,sc4_gross,sc4_saving,sc4_net,unit
Fine particulate matter formation,9.829477825885751e-05,9.834137071165892e-05,9.22936714294081e-06,8.911200356871811e-05,9.83170734729724e-05,1.816348636530654e-05,8.015358710766586e-05,9.83175555945775e-05,2.9238017221311346e-05,6.907953837326615e-05,DALY
Fossil resource scarcity,3.2041658665180957,3.2056014814375717,0.2842421088771805,2.9213593725603912,3.2063950758889423,0.5021806348271133,2.704214441061829,3.206336795763456,0.8881735302470756,2.31816326551638,USD2013
Freshwater ecotoxicity,2.4288924402678426e-08,2.4287480859230922e-08,2.58362296421984e-09,2.170385789501108e-08,2.4288161145036615e-08,7.579971533049111e-09,1.6708189611987502e-08,2.4288015077197323e-08,1.094365928740047e-08,1.3344355789796852e-08,species.yr
Freshwater eutrophication,7.763296615521533e-08,7.764347691435905e-08,4.620275680883512e-09,7.302320123347555e-08,7.76395824116316e-08,1.2820053123687747e-08,6.481952928794385e-08,7.764482128884304e-08,1.9931224974101293e-08,5.771359631474175e-08,species.yr
"Global warming, Freshwater ecosystems",5.691194474224714e-12,5.69482247071705e-12,3.421323936187148e-13,5.352690077098335e-12,5.6894231311682874e-12,6.32804411330333e-13,5.056618719837955e-12,5.689501836476965e-12,1.1983677744434458e-12,4.491134062033519e-12,species.yr
"Global warming, Human health",6.904648536120639e-05,6.909049930415513e-05,4.150767072927383e-06,6.493973223122774e-05,6.902499757754038e-05,7.677234203034187e-06,6.134776337450619e-05,6.902595260495112e-05,1.4539194597636061e-05,5.448675800731506e-05,DALY
"Global warming, Terrestrial ecosystems",2.0834851174468596e-07,2.0848132905891053e-07,1.2525346717755663e-08,1.9595598234115488e-07,2.082836877912942e-07,2.3166841800424603e-08,1.851168459908696e-07,2.0828656988132e-07,4.387359552430397e-08,1.6441297435701604e-07,species.yr
Human carcinogenic toxicity,3.0948846586998905e-05,3.101141935705251e-05,4.575300908763883e-06,2.6436118448288625e-05,3.1169655311862485e-05,6.46825151888856e-06,2.4701403792973924e-05,3.11569878064742e-05,8.29076637674002e-06,2.2866221429734182e-05,DALY
Human non-carcinogenic toxicity,0.00013121785885266305,0.00013144384882259356,1.3290256067748905e-05,0.00011815359275484466,0.00013219667221477877,3.859411224501438e-05,9.36025599697644e-05,0.00013212817515598286,5.623858325522063e-05,7.588959190076223e-05,DALY
Ionizing radiation,9.042170153747222e-08,9.046824066907216e-08,4.268055817611349e-09,8.620018485146081e-08,9.048337243486648e-08,7.571141712692457e-09,8.291223072217403e-08,9.048831141940364e-08,1.4240644111458348e-08,7.624766730794529e-08,DALY
Land use,2.38631729228285e-08,2.386208707176454e-08,1.4366591456169027e-09,2.2425427926147635e-08,2.386754148228282e-08,3.6868287006764122e-09,2.018071278160641e-08,2.3868495485932556e-08,5.839231023891046e-09,1.802926446204151e-08,species.yr
Marine ecotoxicity,4.894982563843945e-09,4.89464788008175e-09,5.133385540487433e-10,4.3813093260330066e-09,4.894708678070551e-09,1.5125234464426446e-09,3.3821852316279063e-09,4.894679212906365e-09,2.186134631184052e-09,2.708544581722313e-09,species.yr
Marine eutrophication,1.040847669291823e-11,1.0410700386763494e-11,4.0465398533660784e-13,1.0006046401426887e-11,1.0408115110149721e-11,8.473406686266638e-13,9.560774441523058e-12,1.0409043162945145e-11,1.597967943762308e-12,8.811075219182837e-12,species.yr
Mineral resource scarcity,0.5093582723943605,0.5093838670300662,0.05676802998599138,0.4526158370440748,0.5093900104681762,0.14007065455406484,0.36931935591411136,0.5093917502842464,0.19837018206053234,0.3110215682237141,USD2013
