category,weighted_pe,share_pct,cum_pct,in_reporting_set,goal_pinned,basis
Freshwater ecotoxicity,1.3946547974572263,37.77330748885736,37.77330748885736,True,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Marine ecotoxicity,1.0719592675771819,29.03331139974448,66.80661888860185,True,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Human carcinogenic toxicity,0.9052918796342109,24.519234866531537,91.32585375513338,True,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Freshwater eutrophication,0.17837280206481862,4.831109972394534,96.15696372752791,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Terrestrial ecotoxicity,0.03068307724794147,0.8310309574125297,96.98799468494043,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Ionizing radiation,0.02220872633290319,0.6015087391074382,97.58950342404788,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Fossil resource scarcity,0.01934682931585378,0.5239961415646284,98.1134995656125,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Human non-carcinogenic toxicity,0.018409119359344625,0.4985988844174383,98.61209845002993,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
"Ozone formation, Terrestrial ecosystems",0.010943465782729823,0.29639656978810247,98.90849501981803,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Terrestrial acidification,0.009692818743898012,0.26252361768271115,99.17101863750075,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Global warming,0.009311118994713877,0.25218553113926007,99.42320416864001,False,True,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
"Ozone formation, Human health",0.009253255583664938,0.25061833872584655,99.67382250736586,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Fine particulate matter formation,0.006119442979748656,0.16574108643659893,99.83956359380245,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Water consumption,0.003359080582148832,0.09097848725053365,99.93054208105299,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Marine eutrophication,0.001326391334603887,0.03592443651568562,99.96646651756868,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Stratospheric ozone depletion,0.0007837327930528961,0.02122688699387349,99.98769340456255,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Land use,0.0004360317581423065,0.01180963325494284,99.99950303781749,False,False,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
Mineral resource scarcity,1.8348689539139662e-05,0.0004969621825007632,99.99999999999999,False,True,"person-equivalents, NORMALISED ONLY (no weighting factors in the set)"
