category,s1,s2,s3,s4,s5_sc1,total_sc1,ef31_csv_sc1,unit
Acidification,0.481515635740814,0.0018958302365570945,8.958355779026261e-05,0.09036132468259439,9.141842390503196e-05,0.5739537926416608,0.5739537926416608,mol H+ eq
Climate change,38.48758672217703,0.4408816018294459,0.027915666173321085,34.29968199710881,0.1765201222166155,73.43258610950522,73.43258610950522,kg CO2 eq
Climate change (biogenic),0.08596145885531493,0.0014991119779117212,6.905976815241299e-06,0.12699350215187938,2.0461703836821554e-05,0.21448144066575808,0.21448144066575808,kg CO2 eq
Climate change (fossil),38.26360413183592,0.43835448588016845,0.027900046321441607,34.08753888460907,0.17649570630932487,72.99389325495592,72.99389325495592,kg CO2 eq
Climate change (land use),0.13802113148580192,0.0010280039713551903,8.713875062710263e-06,0.0851496103478693,3.9542034646067314e-06,0.22421141388355373,0.22421141388355373,kg CO2 eq
Ecotoxicity freshwater,1317.6388519669715,4.197910207710493,0.15033092196654252,129.56321398680757,0.4030889746450157,1451.9533960581011,1451.9533960581011,CTUe
Ecotoxicity freshwater (inorganics),1302.8560054221623,4.125457047810869,0.12256537438702253,126.04069562301788,0.3948337944591458,1433.5395572618372,1433.5395572618372,CTUe
Ecotoxicity freshwater (organics),14.782846544808333,0.07245315990002865,0.02776554758065508,3.5225183637873716,0.0082551801891384,18.413838796265527,18.413838796265527,CTUe
Eutrophication freshwater,0.06252991527068107,0.0005687284330619102,1.805648530042725e-06,0.05281697255488692,2.166131726558107e-06,0.1159195880388865,0.1159195880388865,kg P eq
Eutrophication marine,0.0628316368798646,0.00044282970278961,2.003953460602559e-05,0.027518985770169285,4.042607577200985e-05,0.09085391796320152,0.09085391796320152,kg N eq
Eutrophication terrestrial,0.7126178165481224,0.00427722107183337,0.0002193061040807187,0.19247707747527765,0.0003875110108573221,0.9099789322101715,0.9099789322101715,mol N eq
Human toxicity cancer,4.728712436988321e-08,1.7744655538930679e-09,8.330569330047363e-12,1.1702766529707579e-08,1.3917878538092225e-11,6.0786604901352e-08,6.0786604901352e-08, CTUh 
Human toxicity cancer (inorganics),3.802240669390075e-08,1.938307241381549e-10,4.75683740460531e-12,9.129140784050813e-09,1.0529799404924512e-11,4.736066483889925e-08,4.736066483889925e-08, CTUh 
Human toxicity cancer (organics),9.264717675982462e-09,1.5806348297549378e-09,3.5737319254255088e-12,2.5736257456567602e-09,3.3880791331776393e-12,1.3425940062452763e-08,1.3425940062452763e-08, CTUh 
Human toxicity non-cancer,2.04712283607829e-06,1.1313575038886447e-08,3.1043130294054863e-10,4.218970888995657e-07,4.442598683050816e-10,2.481088191187988e-06,2.481088191187988e-06,CTUh
Human toxicity non-cancer (inorganics),2.0072778287184833e-06,1.099781581591401e-08,2.980155545977027e-10,4.114231412211573e-07,4.405669756964159e-10,2.4304373682858487e-06,2.4304373682858487e-06,CTUh
Human toxicity non-cancer (organics),3.9845006181394295e-08,3.157592185099499e-10,1.2415748232288286e-11,1.0473947604720046e-08,3.6928925273505475e-12,5.065082164538393e-08,5.065082164538393e-08,CTUh
Ionising radiation (human health),4.956690007663692,0.06538640317548694,0.002321413669558403,6.435127677174767,0.000823933805502719,11.460349435489007,11.460349435489007,kBq U235 eq
Land use,231.80219767755634,2.2337831999485047,0.5231298080740601,140.81411984663998,0.35951127790411874,375.732741810123,375.732741810123,dimensionless (pt)
Ozone depletion,3.6020358772849453e-06,3.246304321543858e-08,7.013492712692168e-09,2.098050622515738e-06,2.3228782786570524e-09,5.741885914007471e-06,5.741885914007471e-06,kg CFC11 eq
Particulate matter,2.462183519011416e-06,1.2916696506369337e-08,3.2770184606892516e-09,4.1337520100137883e-07,1.3389199354921253e-09,2.8930913549153454e-06,2.8930913549153454e-06,disease incidence
Photochemical ozone formation (human health),0.20034834419708705,0.0011211488092805477,8.585917519662867e-05,0.04898225310070997,0.00010310177399908138,0.2506407070562733,0.2506407070562733,kg NMVOC eq
Resource use fossils,518.126871740929,6.364408023173496,0.4594410053964566,494.22014925311464,0.17621524057665283,1019.3470852631903,1019.3470852631903,MJ (net calorific)
Resource use minerals and metals,0.018334947627794227,8.338094604656149e-05,6.226075852794333e-08,0.0003206960576662664,2.997403972249124e-08,0.018739116866305305,0.018739116866305305,kg Sb eq
Water use,20.75466176100781,0.18715336187233333,0.0024288045260618674,17.509532702089928,0.015215700659609865,38.46899233015574,38.46899233015574,m3 world eq
