iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.6562143509713001,95.55046546875343,0.27995467870447555,94.95310909009717,0.3174016999517871,1370.1965658477723,1349.209030119314,20.987535728458663,0.19871025688336746,0.11450598189935136,1.135629432538116,8.231055187164403e-07,8.093419726769644e-07,1.3763546039475902e-08,9.344476709096652e-05,9.338675700808957e-05,5.801008131209716e-08,7.062709806277116,771.6555030980219,6.889964984803188e-06,3.158337892906416e-06,0.3049378613136537,1341.670088858823,0.01921516287311099,678.7376891709173
2,0.6151406566392319,87.65962889292503,0.27906490754578134,87.07909000197243,0.30147398340680687,1416.532346720975,1394.275186779358,22.25715994161936,0.1339110791801649,0.10121045325076859,0.9291551686141792,5.539528721181704e-07,5.40519358831996e-07,1.3433513286174399e-08,6.126291317076892e-05,6.12115088263759e-05,5.140434291888636e-08,4.848321347849032,645.865551441955,6.85316686833411e-06,2.9620757296680315e-06,0.26453757754011664,1290.5250316826848,0.018308767125178958,-2571.681359095899
3,0.6055506702432228,73.88959262257897,0.19118180205313887,73.51391690760896,0.1844939129168941,1389.2153322073582,1373.7151830982252,15.500149109134863,0.12089307013488772,0.0909628066342682,0.946655859041323,-3.568834544487977e-07,-3.7013122364138847e-07,1.3247769192590644e-08,-4.686263599251256e-05,-4.691193313044617e-05,4.9297136099525655e-08,11.010942685649859,324.8691585809059,5.06662489861571e-06,2.8215799280215166e-06,0.25072861734809315,1062.4473321689911,0.019810456870307466,727.5399673147076
4,0.5996961669363912,78.99179705940882,0.2550953932969035,78.47624619622405,0.26045546988785306,1694.1417272100794,1672.9908667666948,21.150860443385472,0.1064477806743273,0.0967613629506648,0.9664418956532492,3.31120569452188e-07,3.1751928765729223e-07,1.3601281794895805e-08,3.49848062186956e-05,3.4928667501700725e-05,5.6138715767831213e-08,5.3276885333798845,391.2496390223804,6.467414057631476e-06,2.5471902042227027e-06,0.26396920020948494,1060.203706192782,0.018597268184559743,325.83254390124785
5,0.61310891943895,82.788632522594,0.2403830794241404,82.31054287597333,0.23770656719654484,1453.8583011826813,1434.4075585577998,19.45074262488027,0.11093047450149661,0.1019862669367305,0.9979635358535855,1.4356510574320765e-06,1.4207117346682419e-06,1.493932276383473e-08,0.00016565411446607794,0.0001656017331536903,5.23813111844706e-08,10.546741076827857,260.47721665446505,6.1746627989239015e-06,3.3626132919529576e-06,0.2691423142537293,1174.9940484587632,0.01869584655914568,150.34555799559166
6,0.6382566013393766,108.16129068282861,0.30344984697686744,107.49167542767852,0.3661654081732266,1284.0730842565772,1264.9031991560594,19.169885100518137,0.09586522551792792,0.1254024918138156,1.1625659476307975,-3.372865112291967e-06,-3.3882531537654997e-06,1.5388041473532523e-08,-0.0004091797680808617,-0.00040923670755716184,5.6939474779211294e-08,7.657894223258789,559.164270603585,7.253964348474149e-06,3.4452737953327605e-06,0.31296277182014914,1509.2580473171802,0.018829452222951917,3656.2543163929877
7,0.6310532141573217,83.76914765416366,0.25771630651671706,83.16785987191062,0.34357147573631297,1418.2485800975664,1381.1970504149099,37.051529682653346,0.07973622445634948,0.09580649798189622,0.9262019850109802,-9.723591170570197e-07,-9.877013999044306e-07,1.5342282847410648e-08,-0.0001199762696504427,-0.00012003253719813619,5.6267546524507185e-08,22.166054615377252,488.4972255271239,7.063222107155787e-06,2.6181910653045823e-06,0.2604598701006514,1165.51050792762,0.01922420902569784,2316.964610511597
8,0.7099785856799823,131.45957219042282,0.4306693836453221,130.6568724691213,0.3720303376561918,1777.66483880637,1753.4025312279875,24.26230757838135,0.2227709566327756,0.14169671846510545,1.2605974933093775,-1.8102294046165443e-06,-1.8286508382594158e-06,1.8421433642871553e-08,-0.0002250457596334811,-0.00022511571343664346,6.995380181659807e-08,16.743853244103306,676.9505170458958,8.44541458247058e-06,2.882920789955921e-06,0.3380327242740267,1837.754849782547,0.02041880679241773,1385.958659382355
9,0.6238483706295277,83.25420494604829,0.264022939749914,82.69210949384797,0.2980725124504017,1489.531978210539,1468.1241507519273,21.407827458610925,0.16995814669193218,0.10642483932820034,1.0239926249793858,-4.268137040562465e-07,-4.4467608047031764e-07,1.786237641407121e-08,-5.973323712901109e-05,-5.978743779585668e-05,5.4200665507245746e-08,8.07165893416937,516.1290706448739,5.796104269279415e-06,2.9914485831292615e-06,0.2828808313263237,1185.196643884364,0.01927827182636476,-1014.3226307596051
10,0.603354723172796,79.03383595880571,0.2214967114723491,78.49450514505696,0.31783410227634606,1474.4056643537376,1457.7456564123938,16.660007941344272,0.15281906604252893,0.09769527080999267,0.9348462153551248,1.8119689358820894e-06,1.7988708025548786e-06,1.3098133327211389e-08,0.00021165605844847637,0.00021160325521349935,5.2803233641677146e-08,18.35355442041562,640.761249688157,6.5915918572716385e-06,3.07967448819282e-06,0.260654627978048,1154.6970740141958,0.01974334710169283,-723.4588856808223
11,0.640125236725541,86.82716923393002,0.24254224227410262,86.2990396536855,0.2855873379704155,1148.2132360606734,1130.3304093636718,17.882826697001168,0.13215160843810084,0.10326537107076987,0.9634915462437981,-7.280536817298835e-07,-7.41314074669902e-07,1.3260392940018338e-08,-9.140591543221692e-05,-9.145755420890644e-05,5.163877527408557e-08,4.980835865803659,130.40664294581734,5.7671698928064025e-06,2.646404012141366e-06,0.2704830497481878,1235.6475974611194,0.017934635419072618,696.8678401981961
