iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.5809686745746697,69.57349587603612,0.2117777287187597,69.15178215644463,0.20993599087272896,1420.6580294096314,1401.8069923664752,18.851037043156104,0.08351937597134153,0.08696456049053994,0.8692889946292915,-8.119525417143242e-07,-8.248761357024015e-07,1.2923593988077345e-08,-9.811090475324823e-05,-9.816504193951301e-05,5.413718492691734e-08,6.543247258957912,374.9689909297774,4.698919319380183e-06,2.552878377787652e-06,0.2428346296298391,971.5346079083481,0.017516422276831423,1476.183989982379
2,0.6910051208701655,106.33468776571867,0.3977518184434214,105.69249648608975,0.24443946118550983,1361.4447423138681,1342.7095878587857,18.735154455083638,0.1316749397839494,0.13514083715229894,1.2582470820643061,2.49457954505521e-06,2.4781767108928175e-06,1.640283416239296e-08,0.0002923541427093426,0.0002922932669898583,6.087571825582688e-08,27.915254564321607,422.9165150027027,7.573646856546135e-06,2.9839354572693456e-06,0.3357610343969619,1538.226893176056,0.01996621380959643,1161.4891273768008
3,0.6437756211356057,89.51254666501383,0.2192668315672855,89.04649410158204,0.24678573186449157,1570.4485603039716,1547.1441657105743,23.304394593396005,0.19522296191341354,0.10890911518661342,1.0813333632171989,5.660956826324351e-07,5.51260124199014e-07,1.4835558433420869e-08,6.0400068953441384e-05,6.0331979309804246e-05,6.808964254574106e-08,21.54518150239546,301.80274545822857,5.8187735279836825e-06,3.0018326286283362e-06,0.2911158429006332,1276.6010249963042,0.02111755832894325,596.7084093407902
4,0.6459398459164992,89.03288136718334,0.26098554071824576,88.56307697854483,0.2088188479202549,1716.511430508456,1699.4519157335938,17.059514774862965,0.09896012285078296,0.11546995099595739,1.1074713607021816,1.7967706186850387e-07,1.650646034629853e-07,1.4612458405518659e-08,1.2641455076424277e-05,1.2584575891135959e-05,5.6879183806871944e-08,13.647743674735684,491.23079379709094,5.995096005604194e-06,3.003660350061486e-06,0.3056242897746683,1228.2036514047247,0.021019934649077067,1222.6001278608455
5,0.5868687730103522,74.07896451789195,0.22729900186683746,73.55021367663512,0.30145183938995507,1634.8205233886379,1614.0612576272792,20.75926576135846,0.10506575777569926,0.09251848478178074,0.8883832285838092,-8.157112330917038e-07,-8.328333063324554e-07,1.712207324075141e-08,-0.00010471926820384575,-0.00010477249935480262,5.323114980770406e-08,13.763582747604348,148.7565094565161,5.613609347485248e-06,3.170106013543761e-06,0.25545259379003715,1041.0412738742411,0.02014201563188029,-1634.9020130097088
6,0.5742913147218442,83.02689417931325,0.24457395445702554,82.5916160923953,0.19070413246091528,1234.2262427024978,1216.0860810987922,18.14016160370551,0.11831946899994912,0.10095983604971097,1.0161207153185507,-7.829328369127955e-07,-7.992569290368359e-07,1.6324092124040243e-08,-9.851082363733657e-05,-9.856707211553371e-05,5.6248477061608304e-08,24.55309352894256,453.2854971264825,6.691500985851657e-06,3.148463462304023e-06,0.26593268586738317,1179.1528960853252,0.018257568835155186,-797.9575926205471
7,0.6496689276865356,105.21132856330692,0.2996839940095696,104.45492436405122,0.45672020524614254,1506.8903704051286,1485.9890596481816,20.901310756948305,0.09670565297163784,0.11776335703713235,1.0865080528709858,-1.5322595146828937e-06,-1.553557750918903e-06,2.129823623600919e-08,-0.0001871216304043409,-0.00018719534727239048,7.3716866689562e-08,8.692878128038231,501.93943212897074,8.328662999545273e-06,3.758384421662518e-06,0.302934685120527,1473.844218929272,0.020976979872940418,877.4243265469267
8,0.5471897556427663,72.62767883396417,0.21767360054279475,72.13696730237264,0.2730379310487497,1252.630935047658,1231.4515977496287,21.17933729803185,0.09145838988433284,0.0902420557972741,0.8948322453365666,7.194800604440583e-07,7.07644745927149e-07,1.1835314516909511e-08,8.110289429996303e-05,8.105197241937523e-05,5.0921879627793585e-08,8.073510078150813,277.6749862814859,5.914405501621464e-06,3.0767634910289212e-06,0.24298869686466396,971.6796746939494,0.017402562563137776,-1133.2656590819242
9,0.6321264459680088,87.09131147601946,0.2166703559505686,86.6650542220697,0.20958689799917862,1672.1592410689893,1653.4578177117403,18.701423357248622,0.13882135151042937,0.1142781821782273,1.079453601598156,6.934267344339285e-07,6.768255253447431e-07,1.6601209089185516e-08,7.73161727610374e-05,7.726043983582416e-05,5.573292395627393e-08,6.000001109254056,245.50148873590862,6.612037499521141e-06,2.253944553925665e-06,0.28930695687460695,1214.706096440235,0.019312974737540012,266.0643711673365
10,0.6184263411351322,86.72557890180884,0.29431731123839294,86.12977862445614,0.30148296611430697,1514.915603589534,1492.3442093121898,22.571394277343643,0.20044008157361798,0.09840387202872425,0.932379989426585,1.0107985676369954e-06,9.939569155437666e-07,1.684165209322804e-08,0.00011579264973856919,0.00011573687986956024,5.576986807540961e-08,4.373819637864487,717.0271813244168,6.323481251173783e-06,2.6249479029615094e-06,0.2577229090247328,1202.5285588654453,0.01769932313447727,1224.6190465318214
11,0.7233465460443116,128.7525338330464,0.5094631989495535,127.98490475274198,0.25816588135488255,1557.96475155438,1536.2111247652942,21.753626789085192,0.22025428999224134,0.1376820846867023,1.2637721767638135,2.4666018602820596e-06,2.4482219925478184e-06,1.8379867734240776e-08,0.00028566508222636726,0.0002856036417653217,6.1440460004644e-08,6.477134209774224,741.8558367495953,9.802264514520968e-06,3.457841612094071e-06,0.33275082253481386,1784.8589576018046,0.018805797997361207,-1136.7847300115645
12,0.7675230949404086,143.8822634684853,0.6158506167082495,142.66508761650212,0.6013252352748835,1676.0440774317133,1654.3157616808398,21.72831575087345,0.36702457697313273,0.15180054563917836,1.3607420477340224,6.3806985121228954e-06,6.362503917761986e-06,1.8194594360908693e-08,0.0007448395031360956,0.0007447711860032772,6.831713120612438e-08,15.362234446156279,672.287076786415,1.0428015229489311e-05,3.8030949131748925e-06,0.36138221373473717,2048.287488862619,0.020119502921193806,-4016.0524086163314
13,0.6315374393787143,83.76821588711583,0.27019719896577027,83.15723234208426,0.3407863460658022,1151.9562539358656,1135.4890342068406,16.467219729025306,0.08943427454770221,0.09524534910558329,0.9221060960079989,1.032212792043362e-06,1.0177978127764193e-06,1.441497926694275e-08,0.00012013100902188565,0.00012007676621450167,5.424280614279107e-08,10.118219449612578,409.20059132969845,7.207118101791289e-06,2.5095965093672303e-06,0.25693494143211615,1167.7683874115482,0.018562741335376495,-1197.3238256394543
14,0.6201945867785993,86.94026395648018,0.2833216403791587,86.39893210480227,0.25801021129874596,1460.0428885953438,1437.0118508305375,23.031037764806637,0.15038547748033707,0.09790217110143977,0.9627718335812878,5.032610057771571e-07,4.891570652515271e-07,1.4103940525629967e-08,5.6799307829094574e-05,5.6748828623741955e-05,5.047920358045638e-08,8.83106455150693,751.5507264936174,6.8243681130926596e-06,3.0203310895292682e-06,0.256368984210136,1227.743787030968,0.018605064297953257,-3047.8627038922095
15,0.688218941937457,117.12790338307632,0.3641257382101931,116.46071703531929,0.3030606095468336,1656.8027888948393,1640.5628133124942,16.239975582346243,0.14987254725680765,0.13329383300416167,1.1860496071938111,2.617562297459132e-06,2.600271975973992e-06,1.729032148514066e-08,0.00030027740464612894,0.0003002191714613405,5.823318368793045e-08,10.348275323176031,708.3013991770504,8.620502996534424e-06,2.978748341474567e-06,0.3211590189184798,1691.0185269104459,0.018000060062110326,1689.8271303293732
16,0.6007813488621716,74.28096264882015,0.19155340034344462,73.89284868680387,0.1965605616728446,1345.5148553259826,1330.5101469392903,15.004708386693135,0.12800797641931516,0.1030174203012635,1.0382093955919325,6.138773089882055e-08,4.9432908372161985e-08,1.1954822526658514e-08,1.5976255830442305e-06,1.544721382187651e-06,5.290419931272418e-08,6.999185554246251,197.6980346525703,5.815538821380671e-06,2.6430504538460943e-06,0.27404772205759986,1032.4261015204884,0.01875229991815555,5.748565308083926
17,0.6594608327820995,96.44687876961974,0.3080614054123662,95.8071205268763,0.33169683733105143,1368.2810875829423,1344.8742889255436,23.406798657397015,0.2767721263337149,0.10970791451817477,1.0759131695594968,-9.617305132526575e-07,-9.78181207227402e-07,1.6450693974744106e-08,-0.00012108930349923042,-0.00012114871193922522,5.940843838707901e-08,7.648260076533653,116.58481453862993,8.00209064704331e-06,3.5617405152264727e-06,0.28892662217976994,1368.6024546309864,0.01773682713117978,1398.9280970326763
18,0.5977754033978562,72.17391873237264,0.2100354553757429,71.75654772730522,0.20733554969170676,1625.0571045781232,1607.4728639547707,17.584240623352496,0.08329025844971542,0.10706136703288248,1.0934873790722721,1.5075112964120308e-06,1.4919608002094695e-06,1.5550496202561305e-08,0.000172372340996023,0.00017232227713084408,5.006386406562429e-08,33.09988110245418,662.429358304632,5.50722608637433e-06,3.4078509763371475e-06,0.29656811614000955,1008.1682690672352,0.019127168157722804,-2256.871190529222
19,0.7587550591602988,128.0855956929886,0.4015100112175095,127.07225852316553,0.6118271586055825,1597.3804141130545,1572.8852682439333,24.495145869122386,0.14308718289485506,0.14989950937294735,1.4033874816915735,2.5157567685185454e-07,2.3411426480912722e-07,1.7461412042727597e-08,1.953379035595799e-05,1.9453862040563754e-05,7.992831420779715e-08,16.883087640338857,620.207959011163,9.53507088638983e-06,3.283975431256604e-06,0.3735439992155227,1771.4711586324058,0.0190207526061031,-3724.7676467245255
20,0.7739018247409756,136.3853738435936,0.5020803236259489,135.59586354462118,0.2874299753464622,1414.6955533984358,1394.6625726168488,20.03298078158733,0.12478759030485885,0.1558183174229291,1.4173383278133767,2.3141268943185208e-06,2.2967575217981546e-06,1.7369372520367294e-08,0.0002696306980429445,0.0002695718149207363,5.8883120804138534e-08,30.117717925754995,801.5991406345245,9.627450205836677e-06,3.2454492832319393e-06,0.37823757892857124,1978.820554031738,0.019234794329769413,2625.492083833331
21,0.6110227698361258,65.60851553746572,0.20385087802001828,65.19469165028991,0.20997300915579306,1315.5060485092715,1298.8806328446456,16.625415664625304,0.07138116984873324,0.09679387355706455,1.0368147398389826,1.2619223662992808e-07,1.127446380194059e-07,1.3447598610522106e-08,9.838098420738102e-06,9.789177208027233e-06,4.8921211767783356e-08,7.6201589862965395,358.24967698869415,5.193270642075659e-06,2.6403815712487485e-06,0.2724511529027761,876.580464984185,0.018127142018950434,-465.6689913832779
22,0.7218434468350101,132.9326887614499,0.45867316478529274,132.08365292159863,0.39036267506597977,1701.7932560807756,1676.9966162198355,24.79663986094032,0.1908871308877674,0.1408485639519125,1.2351097117393177,-9.632072766973386e-07,-9.831997479750143e-07,1.9992471277675697e-08,-0.0001224960011142143,-0.00012256718289806325,7.118178145662717e-08,18.170197210570894,595.6823260930723,8.65592330585636e-06,4.128339968459878e-06,0.340963673857834,1906.7656189819088,0.01969166823909973,382.50901629743385
23,0.623293745232846,89.22415585177465,0.2549693603098094,88.72298638695015,0.24620010451468022,1724.8937040260473,1699.7794545939441,25.114249432104902,0.17390068782973805,0.11247466410787921,1.0869803050760598,-2.357841806471396e-07,-2.5156753452103355e-07,1.5783353873894115e-08,-3.5215743643037124e-05,-3.5272574801056115e-05,5.683115683944264e-08,13.842387711518288,604.095576234167,6.714622528937603e-06,2.962673187748813e-06,0.2944228283069646,1260.2792105805115,0.019753246688336647,2098.8338680185734
24,0.6010465732590264,98.68969466518332,0.27399662807537695,98.08938909932908,0.32630893777886155,1320.2648218798154,1300.0261681565153,20.238653723296345,0.36014296581493244,0.1062389942721062,0.9740158482655668,-1.9251947920493257e-06,-1.9385842310632365e-06,1.3389439013911397e-08,-0.00023686164149630827,-0.00023691869050490466,5.704900749754542e-08,39.00244067711085,511.72449692421077,8.311471986149487e-06,2.903221581703827e-06,0.27919507857445025,1371.6902760801709,0.018831964048782495,202.70090300419906
25,0.5999376806362406,76.54743870783251,0.22534355918314797,76.0243869496266,0.2977081990227494,1543.1200686742131,1523.2978521613472,19.822216512866373,0.1423746626236012,0.09333462859644392,0.9433428009687903,-6.48833270079944e-07,-6.620894427558772e-07,1.3256172675933336e-08,-8.368107724267916e-05,-8.373856387655506e-05,5.748663292290875e-08,4.771900980043194,296.38740658604496,7.201370658797348e-06,2.5687208747926e-06,0.2666950080168578,1063.1519215402313,0.019052990513094618,-648.9459708270952
26,0.5646205351553534,82.63351605755763,0.21536183196507158,82.12865923653581,0.28949498905676424,1491.3283453953923,1472.8284403648431,18.499905030547893,0.10186083742864473,0.10463990038886158,1.0336603369408979,5.375639312500314e-07,5.215608357709943e-07,1.6003095479037314e-08,6.079688749606973e-05,6.073990880298572e-05,5.697869149509653e-08,26.796709055592622,84.7346975813847,4.804878697510313e-06,3.17368039544686e-06,0.2876507901032237,1165.0425298569135,0.01804855563650171,1023.8349128641494
27,0.5843604673204807,74.73317212059897,0.2189159694671999,74.35772046196001,0.15653568917175378,1396.890642307823,1373.2649375042308,23.62570480358969,0.07959708975609904,0.09702271014888239,0.982105284728851,1.2320168486458213e-06,1.2188447257300139e-06,1.3172122915807837e-08,0.00014068659698613671,0.00014063607828363118,5.0518701060291644e-08,5.7836755342301736,545.0211088106892,5.3277157230072805e-06,2.2415888847267125e-06,0.26639902603969184,1032.194582784725,0.01922416355963457,913.7987624782472
28,0.6757266709491554,88.55169023847643,0.24065433471881356,88.01988105004122,0.2911548537163887,1580.6512126840641,1561.3476531274805,19.303559556585192,0.09620420479572896,0.10998722500526209,1.153259329246144,-7.958055280382592e-07,-8.100040564276021e-07,1.4198528389342907e-08,-9.975374751254643e-05,-9.981199553883352e-05,5.8248025181684614e-08,8.577687926715027,492.6907670421173,6.275913156513054e-06,3.77737771913753e-06,0.3036532899436548,1218.4844189348426,0.018960108628156416,256.68527795965565
29,0.7025787773334685,117.52606943020956,0.3967915636284918,116.74448384273632,0.3847940238447643,1504.4125028866254,1482.6245692935552,21.787933593071894,0.0923865867096123,0.12946422169978872,1.19710897404594,2.6540713888859055e-06,2.637056909969048e-06,1.701447891685739e-08,0.0003061237455228087,0.0003060629808629381,6.076465857141476e-08,7.523475148585157,238.61654530575623,8.065505682643605e-06,4.028466644465315e-06,0.32886328800444103,1623.8893509472432,0.01948551321553132,780.7873353630021
30,0.6086955324366095,81.88686033766565,0.23841871778987214,81.50368212865568,0.14475949122011667,1440.7602802347874,1424.5011118176183,16.259168417169548,0.07055691053697324,0.1055593360972956,1.0171562195831225,1.1739454367745947e-06,1.1597105826961753e-06,1.4234854078419041e-08,0.00013418171231284267,0.0001341314849943639,5.0227317075345555e-08,24.041224714707543,382.6315521676983,5.999925672342141e-06,2.527188224063775e-06,0.27648156937573054,1158.4836335579437,0.01839077103136961,96.96189977699396
31,0.6156662594539899,83.68062326974481,0.2704145804505503,83.22926288005551,0.18094580923872247,1831.2667921021023,1810.171951376897,21.094840725206467,0.11727973677416215,0.10636923019793915,1.0698843701362635,-1.0908656546496862e-07,-1.2216333080058263e-07,1.307676533561395e-08,-1.703549713549015e-05,-1.709306507355548e-05,5.756793672438615e-08,26.022338359092352,581.4864531361243,5.665147177284501e-06,3.0779010795803675e-06,0.2775695280626,1178.7738895841171,0.01879643559054362,-665.5621978645067
32,0.5569263339062206,80.95922539271874,0.20492001223253806,80.61510927876313,0.1391961017230629,1302.0605994221794,1284.409118008145,17.651481414035576,0.10417171646777756,0.09455319698891912,0.9565556182128292,1.0087293806240026e-06,9.968874324669077e-07,1.1841948157095665e-08,0.00011583552790305073,0.00011578389075033307,5.1637151316048076e-08,12.583155155056803,322.90967578906935,6.282292408903891e-06,2.657791643824918e-06,0.2579554356837082,1142.2717341377906,0.01850887552473442,-2184.3546959155537
33,0.636312036294829,97.41324184051024,0.2938604184539366,96.66962703516683,0.4497543868894733,1403.8050613993857,1379.5209118114637,24.28414958792208,0.12354165939093478,0.1092542261122867,1.022419103130613,-5.15684084963743e-07,-5.299527057485938e-07,1.4268620784850693e-08,-6.702945547866134e-05,-6.708607609826704e-05,5.662061854640127e-08,30.276696635424038,617.5600405622831,6.06608190651923e-06,3.0643236065665116e-06,0.29130987527859015,1422.4785656115446,0.019342786938355942,1882.4778600433056
34,0.5730540379117668,80.38927646628397,0.22369719094229168,79.82475412844583,0.34082514689585286,1201.0232290733936,1185.9424176577675,15.08081141562751,0.09508061411002784,0.09514420508893998,0.9369112101159763,-1.7077745954206751e-07,-1.84759425757402e-07,1.3981966215334516e-08,-2.475056252963995e-05,-2.4805581012469758e-05,5.501848127238847e-08,6.406643549237815,440.4420369038936,7.379660314054222e-06,2.8092145099050574e-06,0.2548704134255492,1163.2380988803084,0.017208635261862233,-2970.487322671277
35,0.5896899418361546,91.56818083349665,0.24102285761588904,91.09642464899039,0.23073332689037496,1437.278855356009,1418.7122950178552,18.566560338153852,0.15109559839484854,0.10779072074851623,1.0141611829238792,1.0246049460052493e-06,1.0098398106790507e-06,1.4765135326198375e-08,0.00011482348922453977,0.00011477125210514549,5.2237118252746344e-08,9.605915083889197,271.74513055039955,6.469476170313766e-06,3.082393887231783e-06,0.27836089139888087,1263.2667583784387,0.01766444675777269,1010.8050246210623
36,0.6591154107918948,79.49724383737176,0.24389657099687156,79.03303026207628,0.22031700429858359,1217.0394561778976,1199.583285889309,17.456170288592023,0.1308769317126911,0.10625716298006058,1.115439318816376,-3.6023975121935395e-07,-3.732326545525599e-07,1.2992903333205973e-08,-5.075482591747629e-05,-5.080559456955359e-05,5.076865061786834e-08,7.725278608442487,671.2690474571941,5.95161807364158e-06,2.940862919390785e-06,0.2867060270200741,1115.1319454146196,0.019529657270697037,1511.7577626465281
37,0.6672344022935983,113.70437029607537,0.41360034930222284,113.00533145745518,0.2854384893179566,1582.1993047248666,1560.9687429760706,21.230561748797996,0.1355328923088113,0.13032524475412247,1.2668158897612338,-1.0345717674888496e-06,-1.0522145470741804e-06,1.7642779585331504e-08,-0.0001271545707965722,-0.00012721505808708795,6.048728926791906e-08,30.037660669348494,-193.60151359944066,8.466629486821806e-06,4.2673594029690395e-06,0.3216373273254005,1606.758990429572,0.019485567856333333,2181.2030117082286
38,0.7092065912688746,98.9118476417698,0.2947480197544493,98.31393560003445,0.3031640219808833,2026.062425438308,2006.1961931708875,19.866232267418045,0.12082378644396552,0.11540965043774547,1.1063661219381715,-1.0247782443038641e-07,-1.1991858252659561e-07,1.7440758096209198e-08,-2.2369204004283168e-05,-2.2432688472380808e-05,6.348446606172518e-08,9.938270340896153,941.506815310842,6.938988520156133e-06,2.9989756681663783e-06,0.3022712963800483,1414.3678136209069,0.020528230707178925,-3477.0747737560305
39,0.6116389942121594,72.8651815636222,0.18575348703878194,72.46560474770021,0.21382332888321384,1654.1210151824187,1639.6413728720408,14.479642310378356,0.1525911205118301,0.09795445684794282,0.9367339671609735,5.714856859069739e-07,5.563329989012412e-07,1.5152687005732692e-08,6.496792948394483e-05,6.491617698050499e-05,5.1752501846172014e-08,7.519458609695138,439.70325766667656,5.052550182679922e-06,2.5032443997543085e-06,0.26968359583472246,1025.722516963826,0.019863593554009108,2434.354237435531
40,0.5479737381713856,75.03466585433637,0.24383527446293135,74.65180288928181,0.13902769059162035,1152.9316246416083,1134.7274843043099,18.20414033729774,0.14277578826807324,0.08660730196283357,0.8267432398117244,1.315328133335707e-06,1.3033557299168485e-06,1.1972403418859092e-08,0.0001497456568738573,0.00014969581212309518,4.984474951875059e-08,5.249279982434664,316.5744680331028,5.213909769160209e-06,3.716954059138766e-06,0.2349350870004473,1048.1689811530127,0.01722693259400181,-243.68876658327645
41,0.6497181475228125,97.61614853354409,0.3240081548891435,97.06496310737754,0.22717727127741072,1797.4997565503547,1775.3259939345774,22.173762615778656,0.11583975965142283,0.1144230109938529,1.0839060039317496,1.569645957381076e-06,1.5558598900892309e-06,1.3786067291845152e-08,0.00018248941943114613,0.00018243273794381617,5.668148578318892e-08,15.216609381645746,610.1230784733115,6.52373944672272e-06,2.7038680885741248e-06,0.29098346495060434,1320.491723722949,0.018893184061549835,-887.1978744198095
42,0.6177408248938874,97.37863732881809,0.26808119123773033,96.96430241783449,0.1462537197458666,1786.477491753656,1755.7220352269821,30.75545652667541,0.10159642082459118,0.11148109253726292,1.0417608315129188,2.3498904192965613e-06,2.333554343110065e-06,1.6336076186496484e-08,0.0002747032591915304,0.00027464737320246106,5.58859874214437e-08,40.18926614589947,597.6854612147448,6.371916484888925e-06,3.2577792549495103e-06,0.2831220909985998,1362.854936190706,0.018754595912220545,1713.1247618832167
