iteration,Acidification,Climate change,Climate change (biogenic),Climate change (fossil),Climate change (land use),Ecotoxicity freshwater,Ecotoxicity freshwater (inorganics),Ecotoxicity freshwater (organics),Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Human toxicity cancer,Human toxicity cancer (inorganics),Human toxicity cancer (organics),Human toxicity non-cancer,Human toxicity non-cancer (inorganics),Human toxicity non-cancer (organics),Ionising radiation (human health),Land use,Ozone depletion,Particulate matter,Photochemical ozone formation (human health),Resource use fossils,Resource use minerals and metals,Water use
1,0.05993281107520824,4.731383181885154,0.015886168172545376,4.644907117521019,0.07058989619159055,145.00447478088495,142.96780256705767,2.036672213827523,0.00880978278635626,0.0077476724037600685,0.08545538058347561,-2.0463363041960375e-07,-2.0858997919086693e-07,3.956348771263132e-09,-2.584512982571987e-05,-2.585825831588029e-05,1.3128490074049734e-08,0.3477148240653168,23.54053621670194,9.159790223349249e-07,4.0194230513478704e-07,0.024723696159675228,63.55271004157396,0.001872695835181654,123.98492020021331
2,0.05660497386001342,4.576664135026048,0.016424341417014734,4.501568716415649,0.05867107719338442,114.78300493603903,113.11222385010298,1.6707810859360988,0.006690529242166087,0.006471357468276445,0.0738877026662426,-1.2835013753384651e-07,-1.314538829256017e-07,3.103745391755152e-09,-1.5861983406535078e-05,-1.5874783226113473e-05,1.2799819465896779e-08,0.3589317720946654,14.502792695896318,3.075101888944327e-07,3.5755905379377743e-07,0.022778868627415932,60.549869450676056,0.001862679575948918,-81.95741197635925
3,0.05748765908237903,4.535215710697022,0.01606057170075297,4.468741336621306,0.050413802374962714,89.78309435397352,87.86178797782529,1.9213063761481717,0.005971519130368027,0.007347237253437341,0.08164861604625094,8.770053230794315e-09,5.4604209238486965e-09,3.3096323069456207e-09,9.594793598301773e-07,9.469533667934519e-07,1.2525992938518817e-08,0.7281320578627672,66.86914409463405,2.933175057115874e-07,4.003235691716408e-07,0.023354641960226376,58.600952576485234,0.0018545371793603188,118.72030439361333
4,0.05881001134877826,4.654916260422072,0.015634155778017845,4.57726859882138,0.062013505822674,107.39191955417147,105.58960327447272,1.8023162796987624,0.007206841949162193,0.007611421683920616,0.08442163253285506,-2.5269717341198623e-07,-2.563075278230647e-07,3.6103544110784496e-09,-3.088790027893984e-05,-3.090087727378553e-05,1.2976994756248779e-08,0.3475873938548898,7.015087524845021,3.432849105316609e-07,3.880537025456079e-07,0.022753633881163717,60.57531872056831,0.0018739742866361489,229.5962557087787
5,0.05991469793541382,4.801316243718087,0.015822369426980492,4.722900389001261,0.06259348528984575,122.59137206669615,120.95991007639537,1.6314619903007725,0.007888860221932966,0.007647712511679555,0.08672997645107265,-2.2507746133772797e-07,-2.2830007659964227e-07,3.2226152619143823e-09,-2.7842966625035127e-05,-2.7855987086386583e-05,1.3020461263667329e-08,0.37521531475310066,5.204837350691027,4.1012132972107806e-07,3.3421872279899443e-07,0.02457433106727055,66.24391741864318,0.001883084289673168,272.3370200522072
6,0.0614577017340462,4.702104281146493,0.016416632024785882,4.6234461688438175,0.06224148027789072,135.06355206870157,133.1243363973856,1.9392156713161723,0.00793768444916087,0.008118645534201155,0.09213242186549297,-2.5632083358782584e-07,-2.60516171232112e-07,4.1953376442861695e-09,-3.288998049719596e-05,-3.2902642055975245e-05,1.2661558705930851e-08,0.47644105037801326,5.779167497943188,3.5048904017542166e-07,4.4541777776472396e-07,0.028656209272305833,62.467384082581574,0.0018685501578466943,28.09655838211802
7,0.058650081547591056,4.773882525591772,0.01621257157122817,4.6916767631530405,0.06599319086750466,118.16271384409295,115.8519842187017,2.310729625391326,0.0056491722021085895,0.007006380649526901,0.07705793236714398,1.541402471504215e-07,1.514062122972135e-07,2.734034853207944e-09,1.736645431478828e-05,1.735400482941033e-05,1.2449485300965163e-08,0.4416382365885835,16.554605938009587,3.7682672988347253e-07,4.546021134355644e-07,0.02155469644136721,63.88469379782447,0.0018594902012717032,-536.1531970290425
8,0.05734347176920441,4.450290738293698,0.015077596555015746,4.365948530924041,0.06926461081464186,114.31592613121569,112.66111007601837,1.6548160551972961,0.006053680764838666,0.007100533450448602,0.0792850440517161,-4.0103896910946645e-08,-4.3478548955716906e-08,3.374652044770254e-09,-5.315634626645011e-06,-5.328864837291131e-06,1.3230210581134716e-08,0.35940492629257315,20.23388417545467,4.169678269378336e-07,3.2630928616026395e-07,0.021868312513978673,56.185363398678604,0.001887161803734024,-348.1345745403255
9,0.061033937711298746,4.800834870172732,0.01623274543923877,4.713845525990669,0.07075659874282479,152.09221154141534,149.60616969045967,2.486041850955781,0.007528724408324977,0.007155909529785585,0.08192797222821373,1.158888847996235e-07,1.1217834743736304e-07,3.710537362260415e-09,1.2297435967949968e-05,1.2284149822608646e-05,1.3286145262623754e-08,0.5256930129647271,21.538402509267417,4.6594127189434276e-07,3.937483568682443e-07,0.022826224391851488,63.04225726145646,0.001868512953245227,-142.39592511658157
10,0.06155301730883232,4.740562926429462,0.015122785490852768,4.6608471355056125,0.06459300543299669,133.81684553603444,131.85756453024803,1.9592810057864445,0.011690215554232816,0.006633924362596691,0.07237069400629086,-2.4495018469996247e-07,-2.482383124532785e-07,3.288127753316021e-09,-3.024938701197763e-05,-3.0262620020656483e-05,1.3233008570935009e-08,0.4629880877943349,48.05636831551422,4.3150630947409915e-07,3.448228051607654e-07,0.021268672376364338,64.92550672651068,0.0018796359120505112,-1025.995635940706
